"site","site_old","year","Treatment","Transect","Distance","Emerged","Reproduced","neighbors","Fecundity","Biomass","fecundityflag","notesFlag","Lat","Lon","annual","unknown","perennial","shrub","Type","plantID","albedo","x","y","genotype","block","plot","note_standard_harvest","note_standard_phen","Transect_Site_Year","total_precip","MAT","seasonality","prcp.Spr","prcp.Sum","prcp.Win","prcp.Fall","tmean.Spr","tmean.Sum","tmean.Win","tmean.Fall","swe_mean.Spr","swe_mean.Sum","swe_mean.Win","swe_mean.Fall","prcp_center30d_mean","tmin_center30d_mean","tmax_center30d_mean","tavg_center30d_mean","tmin_center30d_min","tmax_center30d_max","pH","EC","OMpercent","Protein_g.kg","site_year","site_numeric","site_year_numeric","year_numeric","NewSiteCode","SeedSource","sample.id.x","kinshipID","sample.id.y","source","neighbors.s","perennial.s","shrub.s","annual.s","Dataset","plot_index","idx","idx_site","r_train","e_train","Obs_Fitness","Obs_Fitness_log","Predicted_Fitness_PostPred","Predicted_Fitness_log_PostPred","Predicted_Fitness","Predicted_Fitness_log"
"CastValley","CastValley","2021","control","E",0.2,"N","N",9,0,0,0,NA,38.677,-109.417,0,0,13,0,"Satellite","599",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",0.318940312498327,0.762190720578095,-0.108544113731669,-0.266668381498529,"Training",0,3,3,0,0,0,-Inf,0.413000000000002,-Inf,0.370163770916413,-1.15027824809516
"CastValley","CastValley","2021","control","E",0.4,"N","N",15,0,0,0,NA,38.677,-109.417,0,0,40,0,"Satellite","600",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",0.966831916399893,2.99970818297827,-0.108544113731669,-0.266668381498529,"Training",0,3,3,0,0,0,-Inf,0.142333333333333,-Inf,0.10357273178145,-2.43062029307337
"CastValley","CastValley","2021","control","E",0.6,"N","N",2,0,0,0,NA,38.677,-109.417,10,0,40,0,"Satellite","601",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.436933225386833,2.99970818297827,-0.108544113731669,0.78646736291101,"Training",0,3,3,0,0,0,-Inf,0.296333333333333,-Inf,0.25535318724654,-1.53902929982098
"CastValley","CastValley","2021","control","E",0.8,"Y","Y",8,2,0.0075,0,NA,38.677,-109.417,25,0,5,0,"Satellite","602",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",0.210958378514733,0.0992225835706355,-0.108544113731669,2.36617097952532,"Training",0,3,3,1,1,2,0.693147180559945,0.821000000000001,-Inf,0.60152129948642,-0.661747683043757
"CastValley","CastValley","2021","control","E",1,"Y","N",2,0,0,0,NA,38.677,-109.417,5,0,0,0,"Satellite","603",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.436933225386833,-0.315132502059027,-0.108544113731669,0.259899490706241,"Training",0,3,3,0,1,0,-Inf,1.03933333333333,-Inf,0.925589580265356,-0.237063805308436
"CastValley","CastValley","2021","control","E",1.2,"Y","N",9,0,0,0,NA,38.677,-109.417,5,0,0,0,"Satellite","604",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",0.318940312498327,-0.315132502059027,-0.108544113731669,0.259899490706241,"Training",0,3,3,0,1,0,-Inf,0.723333333333334,-Inf,0.582610230556266,-0.692030214307698
"CastValley","CastValley","2021","control","E",1.4,"Y","N",2,0,0,0,NA,38.677,-109.417,10,0,0,0,"Satellite","605",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.436933225386833,-0.315132502059027,-0.108544113731669,0.78646736291101,"Training",0,3,3,0,1,0,-Inf,1.09466666666667,-Inf,0.955055062495016,-0.204649436260363
"CastValley","CastValley","2021","control","E",1.6,"N","N",0,0,0,0,NA,38.677,-109.417,25,0,0,0,"Satellite","606",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.652897093354021,-0.315132502059027,-0.108544113731669,2.36617097952532,"Training",0,3,3,0,0,0,-Inf,1.266,-Inf,1.19402034680193,0.0163166583227354
"CastValley","CastValley","2021","control","E",1.8,"Y","N",4,0,0,0,NA,38.677,-109.417,25,0,0,0,"Satellite","607",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.220969357419644,-0.315132502059027,-0.108544113731669,2.36617097952532,"Training",0,3,3,0,1,0,-Inf,0.977666666666668,-Inf,0.920089289379856,-0.240014087556497
"CastValley","CastValley","2021","control","E",2,"Y","N",3,0,0.0053,0,NA,38.677,-109.417,5,0,50,0,"Satellite","608",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.328951291403238,3.8284183542376,-0.108544113731669,0.259899490706241,"Training",0,3,3,0,1,0,-Inf,0.220666666666667,-Inf,0.166466553238808,-1.97386579892525
